Set,Price_Euro,Pieces,Minifigs
Corner Garage,179.99,2569,6.0
Ford Mustang,169.99,1471,
NASA Apollo 11 Lunar Lander,99.99,1087,2.0
Gingerbread House,89.99,1477,2.0
Harley-Davidson Fat Boy,89.99,1023,
Woody & RC,9.74,69,1.0
Duke Caboom's Stunt Show,19.49,120,2.0
Buzz and Bo Peep's Playground Adventure,24.36,139,3.0
RV Vacation,34.11,178,3.0
Buzz & Woody's Carnival Mania!,49.99,230,5.0
Carnival Thrill Coaster,19.49,98,2.0
My First Tow Truck,9.74,11,
My First Balancing Animals,14.61,15,
My First Fun Puzzle,19.49,15,
My First Car Creations,19.99,34,
Creative Fun,34.99,120,1.0
Mickey's Vacation House,48.73,57,3.0
Spider-Man vs. Electro,19.99,29,2.0
Toy Story Train,19.99,21,2.0
Emmet and Lucy's Visitors from the DUPLO Planet,29.99,53,2.0
My First Minnie Build,9.99,10,
My First Mickey Build,9.74,9,
Frozen Ice Castle,49.99,59,3.0
Police Bike,9.99,8,1.0
Fire Truck,19.99,21,2.0
Police Station,29.99,38,3.0
Fire Station,49.99,76,2.0
Baby Animals,9.74,9,
Tropical Island,59.99,73,3.0
World Animals,99.99,121,6.0
Plane,9.99,12,1.0
Submarine Adventure,19.99,24,2.0
Bricks and Ideas,9.99,123,
Basic Brick Set ,19.99,300,
Bricks and Eyes ,29.23,451,
Windows of Creativity,29.23,450,
Creative Fun,34.11,900,
Star Wars: Build Your Own Adventure Galactic Missions parts,,66,1.0
The Book of Bedtime Builds parts,,68,
Harry Potter: Build Your Own Adventure parts,,101,1.0
Christmas Ideas parts,,41,
Wooden Minifigure parts,,29,
San Francisco,49.99,565,
Paris,49.99,649,
Trafalgar Square,79.99,1197,
Empire State Building,99.99,1767,
Burj Khalifa,39.99,333,
Minecraft Steve BigFig with Parrot,14.99,159,
Minecraft Alex BigFig with Chicken,14.99,160,
Minecraft Skeleton BigFig with Magma Cube,14.99,142,
The End Battle,19.99,222.0,2.0
The Pirate Ship Adventure,49.99,386.0,3.0
The Wool Farm,19.99,260.0,1.0
The Blaze Bridge,39.99,372.0,4.0
The Creeper Mine,79.99,834.0,4.0
The Flintstones,58.48,748.0,4.0
Steamboat Willie,87.72,751.0,2.0
Tree House,249.99,3036.0,4.0
Central Perk,79.99,1070.0,7.0
Dinosaur Fossils,59.99,910.0,2.0
My First Duck,,6.0,
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,3.99,44.0,1.0
Fire ATV,,39.0,1.0
Sky Police Jetpack,,33.0,2.0
Race Boat,3.99,34.0,1.0
Popcorn Cart,,43.0,1.0
Space Satellite,,36.0,1.0
Naboo Starfighter,,48.0,
Snowspeeder,,49.0,
Minecraft Steve and Creeper Set,,36,2.0
Tulips,,90,
Emma's Bumper Cars,3.99,66,1.0
Mia's Water Fun,,28,1.0
Spider-Man's Mini Spider Crawler,,73,1.0
Iron Man and Dum-E,,38,1.0
Rex's Plantimal Ambush,3.89,32,1.0
Podracer,,58,
Lucy vs. Alien Invader,,44,1.0
Mini Master-Building MetalBeard,,42,1.0
Mini Master-Building Emmet,3.89,49,1.0
Sam-X,,56,
Ninja Workout,,31,1.0
Fire Flight,,54,1.0
Fish Free Builds - Make It Yours,,39,
Elsa's Winter Throne,3.99,42,1.0
Pelican,3.89,62,
Race Car,3.99,68,
Santa,,67,
Star-Stuck Emmet,,41,1.0
SHAZAM!,,5,1.0
Obi-Wan Kenobi - Collectable Minifigure,,12,1.0
Futuristic Flyer,14.61,157,
Dune Buggy,12.66,147,
Deep Sea Creatures,14.99,230,
Sunset Track Racer,19.99,221,
Underwater Robot,19.99,207,
Shuttle Transporter,24.36,341,
Helicopter Adventure,9.74,114,
Riverside Houseboat,29.99,396,2.0
Race Plane,29.23,333,1.0
Fairground Carousel,48.73,595,3.0
Twin-Rotor Helicopter,48.73,569,1.0
Townhouse Pet Shop & Café,79.99,969,3.0
Outback Cabin,29.23,305,2.0
Year of the Pig,,152,
MSC Cruises,,181,
Jet Fighter,,23,
Caterpillar,,48,
Viking Ship,,54,
Ladybird,,27,
Crane,,64,
Frog,,39,
Ice Cream Truck,,48,
Racing Car,,50,
Eagle,,56,
UFO,,36,
Wolf,,47,
Penguin,,47,
Battle of Hoth - 20th Anniversary Edition,,195,
Avengers Tower,,211,1.0
Space Rocket Ride,,154,1.0
Newbury Juice Bar,,127,2.0
Microscale Gingerbread House,19.48,499,
Christmas Tree,,392,
Sea Accessories,3.99,24,
NINJAGO Minifigure Set,12.99,59,4.0
Spider-Man and the Museum Break-In,14.61,49,3.0
Summer Celebration Minifigure Pack,12.99,45,4.0
Mars Exploration Minifigure Pack,12.66,44,4.0
LEGOLAND Park,,1336,11.0
LEGOLAND Driving School Cars,,209,4.0
Birthday Clown,9.99,150,
Valentine's Puppy,9.99,147,
Easter Chick,9.99,120,
Halloween Ghost,9.74,136,
Thanksgiving Scarecrow,9.99,177,
"Reindeer, Elf and Elfie",19.99,281,
Dragon Dance Guy,9.99,170,
LEGO House Exclusive Minifigure 2019,,7,1.0
LEGO Store Picture Frame,14.99,170,1.0
Name Sign,9.99,91,
Olaf's Traveling Sleigh,,97,1.0
Battle of Endor,,197,
LEGO House Dinosaurs,,864,
Lady Liberty,9.99,153.0,
Xmas Accessories,3.99,32.0,1.0
Rebuild the World minifigure,,,
1989 Batmobile - Limited Edition,,366.0,
Reindeer,,77.0,
Plants from Plants,,29.0,
Jasmine's Petite Tower,9.99,49.0,1.0
Cinderella's Carriage Ride,19.99,91.0,1.0
Ariel's Castle,24.99,115.0,1.0
Aladdin's and Jasmine's Palace Adventures,29.99,193.0,2.0
"Ariel, Aurora, and Tiana's Royal Celebration",44.99,282.0,3.0
Rapunzel's Small Tower,9.99,44.0,1.0
Enchanted Treehouse,48.73,302.0,3.0
Anna's Canoe Expedition,19.99,108.0,2.0
Elsa and the Reindeer Carriage,29.99,116.0,1.0
Arendelle Castle Village,79.99,521.0,3.0
Elsa's Jewellery Box Creation,39.99,300.0,1.0
Olaf,14.61,122.0,
Underwater Loop,29.23,389.0,2.0
Andrea's Heart Box,7.99,84.0,1.0
Emma's Heart Box,7.99,85.0,1.0
Stephanie's Heart Box,7.99,85.0,1.0
Olivia's Heart Box,7.99,85.0,2.0
Mia's Heart Box,7.99,83.0,1.0
Heart Box Friendship Pack,19.99,199.0,2.0
